(node:10472) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/aiEligibilityService.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3086
- Network:       http://192.168.4.44:3086
✓ Ready in 1625ms

○ Compiling /view-as-test ...
 GET /view-as-test?member=8 200 in 6.2s (next.js: 5.7s, proxy.ts: 187ms, application-code: 286ms)
 GET /api/system-settings 200 in 2.4s (next.js: 2.3s, proxy.ts: 17ms, application-code: 74ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 2.4s (next.js: 2.3s, proxy.ts: 17ms, application-code: 86ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 2.4s (next.js: 2.3s, proxy.ts: 17ms, application-code: 96ms)
 GET /api/system-settings 200 in 145ms (next.js: 10ms, proxy.ts: 124ms, application-code: 11ms)
 GET /view-as-test?member=8 200 in 211ms (next.js: 71ms, proxy.ts: 42ms, application-code: 97ms)
 GET /view-as-test?member=8 200 in 133ms (next.js: 4ms, proxy.ts: 5ms, application-code: 124ms)
 GET /api/system-settings 200 in 26ms (next.js: 3ms, proxy.ts: 7ms, application-code: 15ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 44ms (next.js: 3ms, proxy.ts: 11ms, application-code: 30ms)
 GET /api/system-settings 200 in 39ms (next.js: 12ms, proxy.ts: 15ms, application-code: 12ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 51ms (next.js: 13ms, proxy.ts: 11ms, application-code: 27ms)
 GET /view-as-test?member=8&target=1 200 in 177ms (next.js: 12ms, proxy.ts: 12ms, application-code: 153ms)
 GET /api/system-settings 200 in 36ms (next.js: 5ms, proxy.ts: 10ms, application-code: 21ms)
 GET /api/system-settings 200 in 43ms (next.js: 15ms, proxy.ts: 10ms, application-code: 18ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 32ms (next.js: 10ms, proxy.ts: 8ms, application-code: 14ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 34ms (next.js: 2ms, proxy.ts: 8ms, application-code: 24ms)
○ Compiling / ...
⚠ Fast Refresh had to perform a full reload. Read more: https://nextjs.org/docs/messages/fast-refresh-reload
 GET / 200 in 5.1s (next.js: 4.7s, proxy.ts: 8ms, application-code: 406ms)
 GET /view-as-test?member=8 200 in 92ms (next.js: 21ms, proxy.ts: 7ms, application-code: 64ms)
 GET /api/system-settings 200 in 115ms (next.js: 74ms, proxy.ts: 11ms, application-code: 31ms)
 GET /api/system-settings 200 in 126ms (next.js: 88ms, proxy.ts: 11ms, application-code: 28ms)
 GET /api/notification-templates?template_key=player_login_popup 200 in 1156ms (next.js: 1097ms, proxy.ts: 21ms, application-code: 38ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 1169ms (next.js: 1097ms, proxy.ts: 21ms, application-code: 51ms)
 GET /api/notification-template-history 500 in 1387ms (next.js: 1073ms, proxy.ts: 26ms, application-code: 289ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 495ms (next.js: 236ms, proxy.ts: 169ms, application-code: 90ms)
